Slot ID;Owned;Qty;Card Name;Set / Product;Card #;Variant / Printing;Representative Language;All Languages (same card/version);Language Count;Same card in other languages?;Other Languages;Release Status;Release Date;Release Detail;Date Precision;Origin;Legacy ID;Verification;Notes;Primary Source;Verification Source;Unique Version Key
EVM-0001;No;0;Eevee;Pokémon Jungle;Unnumbered;Standard;Japanese;Japanese;1;No;;Released;1997-03-05;05/03/1997;Exact;Original tracker;EEV-0001;Audited base + language mapping;"Second audit: 37 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Pokémon Jungle | Unnumbered | Standard
EVM-0002;No;0;Eevee;Rocket Gang;Unnumbered;Standard;Japanese;Japanese;1;No;;Released;1997-11-21;21/11/1997;Exact;Original tracker;EEV-0002;Audited base + language mapping;"Second audit: 49 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Rocket Gang | Unnumbered | Standard
EVM-0003;No;0;Eevee;Vending Machine Expansion Sheet 1: Blue;Unnumbered;Glossy;Japanese;Japanese;1;No;;Released;1998-03-23;23/03/1998;Exact;Original tracker;EEV-0003;Audited base + language mapping;"Second audit: 32 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Vending Machine Expansion Sheet 1: Blue | Unnumbered | Glossy
EVM-0004;No;0;Lt. Surge's Eevee;Leaders' Stadium;Unnumbered;Standard;Japanese;Japanese;1;No;;Released;1998-10-24;24/10/1998;Exact;Original tracker;EEV-0004;Audited base + language mapping;"Second audit: 62 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Lt. Surge's Eevee | Leaders' Stadium | Unnumbered | Standard
EVM-0005;No;0;Eevee;Jungle;51/64;1st Edition;English;English, Dutch, German, French, Italian, Spanish, Portuguese;7;Yes;Dutch, German, French, Italian, Spanish, Portuguese;Released;1999-06-16;16/06/1999;Exact;Original tracker;EEV-0005;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Jungle | 51/64 | 1st Edition
EVM-0006;No;0;Eevee;Jungle;51/64;1st Edition d Misprint;English;English;1;No;;Released;1999-06-16;16/06/1999;Exact;Original tracker;EEV-0006;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Jungle | 51/64 | 1st Edition d Misprint
EVM-0007;No;0;Eevee;Jungle;51/64;Standard;English;English, Dutch, German, French, Italian, Spanish, Portuguese;7;Yes;Dutch, German, French, Italian, Spanish, Portuguese;Released;1999-06-16;16/06/1999;Exact;Original tracker;EEV-0007;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Jungle | 51/64 | Standard
EVM-0008;No;0;Eevee;Unnumbered Promos;Unnumbered;Fan Club (500 Points);Japanese;Japanese;1;No;;Released;2000-04-01;"Aprile 2000–dicembre 2002 (Fan Club 500 Points; data ancorata all'inizio del periodo)";Range;Original tracker;EEV-0008;Audited base + language mapping;"Second audit: 122 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(Fan_Club_promo);Eevee | Unnumbered Promos | Unnumbered | Fan Club (500 Points)
EVM-0009;No;0;Eevee;Team Rocket;55/82;1st Edition;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2000-04-24;24/04/2000;Exact;Original tracker;EEV-0009;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Team Rocket | 55/82 | 1st Edition
EVM-0010;No;0;Eevee;Team Rocket;55/82;Standard;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2000-04-24;24/04/2000;Exact;Original tracker;EEV-0010;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Team Rocket | 55/82 | Standard
EVM-0011;No;0;Eevee;Wizards Promos;11;Cosmos Holo;English;English;1;No;;Released;2000-06-01;"Giugno 2000 (Wizards Black Star Promo #11; giorno esatto non documentato nel catalogo)";Month;Original tracker;EEV-0011;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Wizards Promos | 11 | Cosmos Holo
EVM-0012;No;0;Eevee;Crossing the Ruins...;Unnumbered;Standard;Japanese;Japanese;1;No;;Released;2000-07-07;07/07/2000;Exact;Original tracker;EEV-0012;Audited base + language mapping;"Second audit: 49 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Crossing the Ruins... | Unnumbered | Standard
EVM-0013;No;0;Eevee;Neo Premium File 2;Unnumbered;Standard;Japanese;Japanese;1;No;;Released;2000-07-08;"08/07/2000 e 05/08/2000 (due finestre di distribuzione; data ancorata alla prima)";Range;Original tracker;EEV-0013;Audited base + language mapping;"Second audit: 5 was an internal/checklist sequence, not a printed collector number; documented as unnumbered.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Neo Premium File 2 | Unnumbered | Standard
